Name,Algorithm,Time Elapsed,Inertia,Adjusted Rand Index,Mutual Information Score,V-Measure,Folkes-Mallows Score
g2-64-40,Bisecting K-Means (worst split),0.176984,209942027.8,1,0.693147181,1,1
g2-64-50,K-Means,0.161103,326468469.4,1,0.693147181,1,1
g2-64-50,Bisecting K-Means (largest split),0.171034,326468469.4,1,0.693147181,1,1
g2-64-50,Bisecting K-Means (worst split),0.178966,326468469.4,1,0.693147181,1,1
g2-64-60,K-Means,0.177015,468573187.8,1,0.693147181,1,1
g2-64-60,Bisecting K-Means (largest split),0.163131,468573187.8,1,0.693147181,1,1
g2-64-60,Bisecting K-Means (worst split),0.18415,468573187.8,1,0.693147181,1,1
g2-64-70,K-Means,0.173997,638078279.5,1,0.693147181,1,1
g2-64-70,Bisecting K-Means (largest split),0.177998,638078279.5,1,0.693147181,1,1
g2-64-70,Bisecting K-Means (worst split),0.191019,638078279.5,1,0.693147181,1,1
g2-64-80,K-Means,0.205,837041127,1,0.693147181,1,1
g2-64-80,Bisecting K-Means (largest split),0.194999,837041127,1,0.693147181,1,1
g2-64-80,Bisecting K-Means (worst split),0.193997,837041127,1,0.693147181,1,1
g2-64-90,K-Means,0.183005,1065350978,1,0.693147181,1,1
g2-64-90,Bisecting K-Means (largest split),0.181999,1065350978,1,0.693147181,1,1
g2-64-90,Bisecting K-Means (worst split),0.195,1065350978,1,0.693147181,1,1
g2-64-100,K-Means,0.176658,1313683852,1,0.693147181,1,1
g2-64-100,Bisecting K-Means (largest split),0.182436,1313683852,1,0.693147181,1,1
g2-64-100,Bisecting K-Means (worst split),0.194001,1313683852,1,0.693147181,1,1
g2-128-10,K-Means,0.332001,26352669.99,1,0.693147181,1,1
g2-128-10,Bisecting K-Means (largest split),0.389003,26352669.99,1,0.693147181,1,1
g2-128-10,Bisecting K-Means (worst split),0.372003,26352669.99,1,0.693147181,1,1
g2-128-20,K-Means,0.324019,104790246.6,1,0.693147181,1,1
g2-128-20,Bisecting K-Means (largest split),0.341004,104790246.6,1,0.693147181,1,1
g2-128-20,Bisecting K-Means (worst split),0.375002,104790246.6,1,0.693147181,1,1
g2-128-30,K-Means,0.327549,236198039.4,1,0.693147181,1,1
g2-128-30,Bisecting K-Means (largest split),0.325996,236198039.4,1,0.693147181,1,1
g2-128-30,Bisecting K-Means (worst split),0.333294,236198039.4,1,0.693147181,1,1
g2-128-40,K-Means,0.330478,420845463.7,1,0.693147181,1,1
g2-128-40,Bisecting K-Means (largest split),0.330004,420845463.7,1,0.693147181,1,1
g2-128-40,Bisecting K-Means (worst split),0.356982,420845463.7,1,0.693147181,1,1
g2-128-50,K-Means,0.320024,654022111.5,1,0.693147181,1,1
g2-128-50,Bisecting K-Means (largest split),0.323999,654022111.5,1,0.693147181,1,1
g2-128-50,Bisecting K-Means (worst split),0.469977,654022111.5,1,0.693147181,1,1
g2-128-60,K-Means,0.336432,947476386.1,1,0.693147181,1,1
